Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     2004     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, EventFunc>, std::_Select1st<std::pair<std::string const, EventFunc> >, std::less<std::string>, std::allocator<std::pair<std::string const, EventFunc> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     2003     0.00     0.00  boost::shared_ptr<Event>::shared_ptr()
  0.00      0.00     0.00     2003     0.00     0.00  boost::detail::sp_counted_base::add_ref_lock()
  0.00      0.00     0.00     2003     0.00     0.00  boost::detail::atomic_conditional_increment(int*)
  0.00      0.00     0.00     2003     0.00     0.00  std::_Select1st<std::pair<std::string const, boost::shared_ptr<EventFactory> > >::operator()(std::pair<std::string const, boost::shared_ptr<EventFactory> > const&) const
  0.00      0.00     0.00     2002     0.00     0.00  void boost::_bi::list2<boost::arg<1>, boost::arg<2> >::operator()<void (*)(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&), boost::_bi::list2<boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&> >(boost::_bi::type<void>, void (*&)(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&), boost::_bi::list2<boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&>&, int)
  0.00      0.00     0.00     2002     0.00     0.00  boost::_bi::list2<boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&>::list2(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&)
  0.00      0.00     0.00     2002     0.00     0.00  void boost::_bi::bind_t<void, void (*)(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&), boost::_bi::list2<boost::arg<1>, boost::arg<2> > >::operator()<boost::shared_ptr<Event>, boost::weak_ptr<EventLoop> >(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&)
  0.00      0.00     0.00     2002     0.00     0.00  boost::_bi::storage1<boost::shared_ptr<Event>&>::storage1(boost::shared_ptr<Event>&)
  0.00      0.00     0.00     2002     0.00     0.00  boost::_bi::storage2<boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&>::storage2(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&)
  0.00      0.00     0.00     2002     0.00     0.00  boost::_bi::unwrapper<void (*)(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&)>::unwrap(void (*&)(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&), long)
  0.00      0.00     0.00     2002     0.00     0.00  boost::detail::function::void_function_obj_invoker2<boost::_bi::bind_t<void, void (*)(boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&), boost::_bi::list2<boost::arg<1>, boost::arg<2> > >, void, boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&>::invoke(boost::detail::function::function_buffer&, boost::shared_ptr<Event>&, boost::weak_ptr<EventLoop>&)
  0.00      0.00     0.00     2002     0.00     0.00  EventFunc::doWork()
  0.00      0.00     0.00     2002     0.00     0.00  EventFunc::setEvent(boost::shared_ptr<Event>&)
